IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
1.231.146.114,21590,TRUE,JP:KIX175,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.34
1.251.124.66,11925,TRUE,JP:KIX176,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.34
211.212.43.153,13300,TRUE,JP:KIX177,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,65,8.33
180.67.128.45,16010,TRUE,JP:KIX178,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,91,8.33
118.218.121.187,18535,TRUE,JP:KIX179,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,8.33
58.124.11.106,21124,TRUE,JP:KIX180,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,81,8.32
211.179.70.112,34267,TRUE,JP:KIX181,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.32
1.231.146.114,33301,TRUE,JP:KIX182,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.32
175.113.68.197,12173,TRUE,JP:KIX183,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.32
218.38.36.6,27165,TRUE,JP:KIX184,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.32
1.231.146.114,29654,TRUE,JP:KIX185,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.32
39.119.121.132,19432,TRUE,JP:KIX186,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,91,8.32
211.179.163.56,11049,TRUE,JP:KIX187,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.31
222.235.135.123,29996,TRUE,JP:KIX188,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,8.31
124.111.204.31,12567,TRUE,JP:KIX189,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,104,8.31
58.124.11.106,17330,TRUE,JP:KIX190,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.31
116.120.204.86,32250,TRUE,JP:KIX191,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.31
211.210.79.30,33569,TRUE,JP:KIX192,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.3
116.122.120.26,36046,TRUE,JP:KIX193,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.3
222.234.105.56,27913,TRUE,JP:KIX194,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,8.29
221.143.121.193,34887,TRUE,JP:KIX195,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,91,8.29
118.222.219.124,23339,TRUE,JP:KIX196,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,8.27
222.235.14.103,23849,TRUE,JP:KIX197,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,8.27
