IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.237.81.112,2087,TRUE,SIN,Asia Pacific,Singapore,297 ms,3948 kB/s
47.76.247.16,80,TRUE,KUL,Asia Pacific,Kuala Lumpur,63 ms,3928 kB/s
47.238.49.85,80,TRUE,SIN,Asia Pacific,Singapore,58 ms,3922 kB/s
47.237.125.8,2083,TRUE,SIN,Asia Pacific,Singapore,303 ms,3912 kB/s
47.237.11.182,2083,TRUE,SIN,Asia Pacific,Singapore,291 ms,3903 kB/s
47.76.243.157,80,TRUE,SIN,Asia Pacific,Singapore,59 ms,3889 kB/s
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,309 ms,3877 kB/s
47.239.13.168,80,TRUE,SIN,Asia Pacific,Singapore,67 ms,3865 kB/s
47.236.80.110,2053,TRUE,SIN,Asia Pacific,Singapore,288 ms,3853 kB/s
47.237.82.15,2083,TRUE,SIN,Asia Pacific,Singapore,285 ms,3851 kB/s
47.237.14.220,2053,TRUE,SIN,Asia Pacific,Singapore,282 ms,3840 kB/s
47.236.80.110,2087,TRUE,SIN,Asia Pacific,Singapore,298 ms,3819 kB/s
47.236.172.71,2087,TRUE,SIN,Asia Pacific,Singapore,286 ms,3807 kB/s
47.237.95.146,2096,TRUE,SIN,Asia Pacific,Singapore,293 ms,3796 kB/s
47.237.14.220,2096,TRUE,SIN,Asia Pacific,Singapore,281 ms,3788 kB/s
47.236.146.249,8443,TRUE,SIN,Asia Pacific,Singapore,302 ms,3786 kB/s
47.236.180.24,2087,TRUE,SIN,Asia Pacific,Singapore,281 ms,3753 kB/s
47.236.237.90,2083,TRUE,SIN,Asia Pacific,Singapore,277 ms,3747 kB/s
47.238.52.240,80,TRUE,SIN,Asia Pacific,Singapore,64 ms,3724 kB/s
47.239.12.227,80,TRUE,SIN,Asia Pacific,Singapore,70 ms,3713 kB/s
47.236.172.95,2096,TRUE,SIN,Asia Pacific,Singapore,282 ms,3692 kB/s
47.238.48.58,80,TRUE,SIN,Asia Pacific,Singapore,67 ms,3659 kB/s
47.237.125.8,2087,TRUE,SIN,Asia Pacific,Singapore,279 ms,3639 kB/s
47.236.202.91,2096,TRUE,SIN,Asia Pacific,Singapore,293 ms,3628 kB/s
47.236.146.249,2053,TRUE,SIN,Asia Pacific,Singapore,284 ms,3608 kB/s
47.236.146.249,443,TRUE,SIN,Asia Pacific,Singapore,296 ms,3602 kB/s
47.237.82.15,2087,TRUE,SIN,Asia Pacific,Singapore,302 ms,3561 kB/s
47.238.48.153,80,TRUE,SIN,Asia Pacific,Singapore,64 ms,3554 kB/s
47.236.205.188,2083,TRUE,SIN,Asia Pacific,Singapore,307 ms,3542 kB/s
47.237.84.173,2083,TRUE,SIN,Asia Pacific,Singapore,308 ms,3519 kB/s
47.237.83.20,2083,TRUE,SIN,Asia Pacific,Singapore,297 ms,3502 kB/s
47.237.95.156,2083,TRUE,SIN,Asia Pacific,Singapore,300 ms,3490 kB/s
47.237.81.112,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,3487 kB/s
47.236.146.249,2083,TRUE,SIN,Asia Pacific,Singapore,289 ms,3482 kB/s
47.236.9.152,2083,TRUE,SIN,Asia Pacific,Singapore,306 ms,3468 kB/s
47.236.232.148,2087,TRUE,SIN,Asia Pacific,Singapore,282 ms,3467 kB/s
47.237.10.1,2083,TRUE,SIN,Asia Pacific,Singapore,286 ms,3442 kB/s
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,286 ms,3414 kB/s
8.218.132.209,80,TRUE,SIN,Asia Pacific,Singapore,58 ms,3402 kB/s
47.236.253.41,2053,TRUE,SIN,Asia Pacific,Singapore,283 ms,3401 kB/s
47.237.82.15,2053,TRUE,SIN,Asia Pacific,Singapore,292 ms,3392 kB/s
47.237.11.182,2096,TRUE,SIN,Asia Pacific,Singapore,273 ms,3301 kB/s
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,301 ms,3237 kB/s
47.237.95.156,2053,TRUE,SIN,Asia Pacific,Singapore,307 ms,3218 kB/s
47.237.0.31,2053,TRUE,SIN,Asia Pacific,Singapore,280 ms,3214 kB/s
47.236.75.113,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,3178 kB/s
47.236.130.95,2053,TRUE,SIN,Asia Pacific,Singapore,282 ms,3140 kB/s
47.236.169.141,2083,TRUE,SIN,Asia Pacific,Singapore,284 ms,3126 kB/s
47.237.83.20,2053,TRUE,SIN,Asia Pacific,Singapore,289 ms,3100 kB/s
47.237.92.26,2053,TRUE,SIN,Asia Pacific,Singapore,302 ms,3076 kB/s
47.237.14.220,2087,TRUE,SIN,Asia Pacific,Singapore,291 ms,3039 kB/s
47.237.10.1,2053,TRUE,SIN,Asia Pacific,Singapore,308 ms,2995 kB/s
