IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
149.104.33.169,9888,TRUE,FR:MRS,Europe,Marseille,174 ms,1782 kB/s
154.197.92.124,9888,TRUE,FR:MRS,Europe,Marseille,76 ms,1763 kB/s
154.197.92.120,9888,TRUE,FR:MRS,Europe,Marseille,75 ms,1756 kB/s
149.104.33.188,9888,TRUE,FR:MRS,Europe,Marseille,179 ms,1707 kB/s
154.197.92.110,9888,TRUE,FR:MRS,Europe,Marseille,91 ms,1693 kB/s
149.104.33.180,9888,TRUE,FR:MRS,Europe,Marseille,190 ms,1658 kB/s
154.197.92.106,9888,TRUE,FR:MRS,Europe,Marseille,83 ms,1644 kB/s
149.104.34.28,9888,TRUE,FR:MRS,Europe,Marseille,80 ms,1538 kB/s
149.104.34.29,9888,TRUE,FR:MRS,Europe,Marseille,97 ms,5377 kB/s
154.197.92.109,9888,TRUE,FR:MRS,Europe,Marseille,119 ms,3178 kB/s
149.104.33.183,9888,TRUE,FR:MRS,Europe,Marseille,232 ms,3658 kB/s
149.104.33.157,9888,TRUE,FR:MRS,Europe,Marseille,178 ms,3383 kB/s
141.145.205.115,8443,TRUE,FR:CDG,Europe,Paris,319,6.16
129.159.130.38,443,TRUE,FR:CDG,Europe,Paris,305,4.3
141.145.217.226,8443,TRUE,FR:CDG,Europe,Paris,244,3.57
158.178.206.197,8443,TRUE,FR:CDG,Europe,Paris,241 ms,2199 kB/s
89.168.43.31,8443,TRUE,FR:CDG,Europe,Paris,251 ms,3637 kB/s
141.145.199.188,443,TRUE,FR:CDG,Europe,Paris,243 ms,3605 kB/s
89.168.43.31,2053,TRUE,FR:CDG,Europe,Paris,251 ms,2127 kB/s
158.178.206.197,2053,TRUE,FR:CDG,Europe,Paris,248 ms,1638 kB/s
129.151.198.3,2053,TRUE,SE:ARN,Europe,Stockholm,412,6.43
129.151.204.91,443,TRUE,SE:ARN,Europe,Stockholm,390,6.07
158.179.206.143,443,TRUE,SE:ARN,Europe,Stockholm,258 ms,2300 kB/s
13.53.54.176,8080,TRUE,SE:ARN,Europe,Stockholm,185 ms,3849 kB/s
13.53.51.77,8080,TRUE,SE:ARN,Europe,Stockholm,208 ms,3149 kB/s
129.151.198.3,8443,TRUE,SE:ARN,Europe,Stockholm,259 ms,2927 kB/s
13.51.55.184,2053,TRUE,SE:ARN,Europe,Stockholm,204 ms,2674 kB/s
158.179.207.182,8443,TRUE,SE:ARN,Europe,Stockholm,273 ms,1417 kB/s
