IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
211.184.121.101,12281,TRUE,JP:NRT117,JP,Asia Pacific,Tokyo,4766,Korea Telecom,201,2.65
59.3.87.55,14135,TRUE,JP:NRT125,JP,Asia Pacific,Tokyo,4766,Korea Telecom,191,2.36
39.121.247.78,12487,TRUE,JP:NRT129,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,2.22
211.109.159.159,12274,TRUE,JP:NRT136,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,2.15
220.119.224.81,12403,TRUE,JP:NRT139,JP,Asia Pacific,Tokyo,4766,Korea Telecom,182,2.12
1.243.39.139,32412,TRUE,JP:NRT142,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,2.05
61.83.1.164,11688,TRUE,JP:NRT145,JP,Asia Pacific,Tokyo,4766,Korea Telecom,178,1.98
222.113.18.214,28724,TRUE,JP:NRT154,JP,Asia Pacific,Tokyo,4766,Korea Telecom,193,1.82
113.60.187.211,12182,TRUE,JP:NRT155,JP,Asia Pacific,Tokyo,17849,SK Broadband Co Ltd,97,1.82
119.65.35.44,30303,TRUE,JP:NRT167,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,86,1.71
220.118.162.190,12390,TRUE,JP:NRT170,JP,Asia Pacific,Tokyo,4766,Korea Telecom,188,1.69
210.179.32.202,12424,TRUE,JP:NRT178,JP,Asia Pacific,Tokyo,4766,Korea Telecom,201,1.58
211.237.184.98,32768,TRUE,JP:NRT180,JP,Asia Pacific,Osaka,17854,SK Broadband Co Ltd,125,1.57
123.99.111.135,30003,TRUE,JP:NRT183,JP,Asia Pacific,Osaka,17857,SK Broadband Co Ltd,122,1.54
211.107.113.133,12224,TRUE,JP:NRT184,JP,Asia Pacific,Tokyo,4766,Korea Telecom,186,1.54
1.236.13.140,12345,TRUE,JP:KIX1,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,77,8.93
1.243.39.139,10000,TRUE,JP:KIX2,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,96,8.69
1.243.39.139,20020,TRUE,JP:KIX3,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,111,8.35
180.65.214.246,20000,TRUE,JP:KIX4,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,87,8.12
1.237.229.226,12252,TRUE,JP:KIX5,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,88,8.11
218.38.36.6,10101,TRUE,JP:KIX6,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,99,8.06
58.126.32.109,12258,TRUE,JP:KIX7,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,87,7.93
1.244.202.141,21285,TRUE,JP:KIX8,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,7.8
1.243.39.139,11300,TRUE,JP:KIX9,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,105,7.56
1.244.202.141,18038,TRUE,JP:KIX10,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,7.54
211.109.159.159,30005,TRUE,JP:KIX11,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,7.48
218.234.111.175,10081,TRUE,JP:KIX12,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,7.44
175.115.83.109,12390,TRUE,JP:KIX13,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,84,7.42
211.211.84.123,10001,TRUE,JP:KIX14,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,7.4
218.234.201.192,12213,TRUE,JP:KIX15,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,7.2
218.55.238.48,11310,TRUE,JP:KIX16,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,77,7.2
222.235.193.82,30005,TRUE,JP:KIX17,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,7.18
218.38.36.6,10243,TRUE,JP:KIX18,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,102,7.09
58.124.254.33,12174,TRUE,JP:KIX19,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,83,6.97
1.232.82.189,10218,TRUE,JP:KIX20,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,79,6.95
218.38.36.6,27015,TRUE,JP:KIX21,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,91,6.79
123.214.37.132,12480,TRUE,JP:KIX22,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,89,6.72
218.50.152.204,12422,TRUE,JP:KIX23,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,77,6.67
219.249.144.205,10001,TRUE,JP:KIX24,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,96,6.58
1.254.49.13,12261,TRUE,JP:KIX25,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,96,6.57
1.254.49.13,12172,TRUE,JP:KIX26,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,115,6.53
1.252.14.205,16028,TRUE,JP:KIX27,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,93,6.44
211.117.167.131,12268,TRUE,JP:KIX28,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,6.44
39.120.102.137,11423,TRUE,JP:KIX29,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,88,6.4
118.220.141.210,21247,TRUE,JP:KIX30,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,6.32
175.124.127.67,10120,TRUE,JP:KIX31,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,79,6.31
211.179.49.130,12343,TRUE,JP:KIX32,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,6.28
58.239.136.32,11434,TRUE,JP:KIX33,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,104,6.17
61.247.117.34,12124,TRUE,JP:KIX34,JP,Asia Pacific,Tokyo,17854,SK Broadband Co Ltd,106,6.03
39.121.247.78,32412,TRUE,JP:KIX35,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,5.95
203.237.104.39,14873,TRUE,JP:KIX36,US,North America,Los Angeles,9754,CHOSUN UNIVERSITY,176,5.37
211.213.4.68,30005,TRUE,JP:KIX37,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,93,5.18
211.208.156.194,12389,TRUE,JP:KIX38,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,102,4.75
114.205.163.153,10047,TRUE,JP:KIX39,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,76,4.75
61.80.135.3,33709,TRUE,JP:KIX40,JP,Asia Pacific,Osaka,4766,Korea Telecom,180,4.64
114.205.163.153,12459,TRUE,JP:KIX41,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,76,4.56
211.237.82.165,20000,TRUE,JP:KIX42,JP,Asia Pacific,Osaka,38684,CMB Daejeon Broadcasting CoLtd,108,4.29
221.163.115.134,34436,TRUE,JP:KIX43,JP,Asia Pacific,Osaka,4766,Korea Telecom,183,3.89
1.251.112.185,13418,TRUE,JP:KIX44,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,3.84
168.126.210.143,30818,TRUE,JP:KIX45,JP,Asia Pacific,Osaka,4766,Korea Telecom,196,3.79
168.126.210.143,34517,TRUE,JP:KIX46,JP,Asia Pacific,Osaka,4766,Korea Telecom,192,3.64
211.228.85.135,22661,TRUE,JP:KIX47,JP,Asia Pacific,Osaka,4766,Korea Telecom,187,3.62
1.252.14.205,33890,TRUE,JP:KIX48,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,87,3.6
221.166.197.34,31540,TRUE,JP:KIX49,JP,Asia Pacific,Osaka,4766,Korea Telecom,199,3.58
211.46.4.145,20070,TRUE,JP:KIX50,JP,Asia Pacific,Osaka,4766,Korea Telecom,179,3.5
211.228.85.135,12036,TRUE,JP:KIX51,JP,Asia Pacific,Osaka,4766,Korea Telecom,183,3.39
61.82.242.222,26335,TRUE,JP:KIX52,JP,Asia Pacific,Osaka,4766,Korea Telecom,185,3.38
222.98.253.228,26006,TRUE,JP:KIX53,JP,Asia Pacific,Osaka,4766,Korea Telecom,196,3.33
59.20.141.38,36921,TRUE,JP:KIX54,JP,Asia Pacific,Osaka,4766,Korea Telecom,167,3.29
222.113.179.204,19172,TRUE,JP:KIX55,JP,Asia Pacific,Osaka,4766,Korea Telecom,177,3.29
211.104.215.140,12122,TRUE,JP:KIX56,JP,Asia Pacific,Osaka,4766,Korea Telecom,177,3.27
222.104.82.72,36209,TRUE,JP:KIX57,JP,Asia Pacific,Osaka,4766,Korea Telecom,192,3.26
125.136.51.42,28017,TRUE,JP:KIX58,JP,Asia Pacific,Osaka,4766,Korea Telecom,178,3.14
211.52.37.46,38047,TRUE,JP:KIX59,JP,Asia Pacific,Osaka,4766,Korea Telecom,208,3.11
218.156.162.26,11886,TRUE,JP:KIX60,JP,Asia Pacific,Osaka,4766,Korea Telecom,192,3.06
121.163.116.208,20201,TRUE,JP:KIX61,JP,Asia Pacific,Osaka,4766,Korea Telecom,197,3.02
